Slang,Example,Informal_Text_Without_Slang
"vibing, fr","Yo, I’m vibing with the idea of hitting the mall later, fr.","Hey, I was thinking about going shopping later."
"drained, chill, vibe","I'm hella drained today, so I’m just gonna chill at home and vibe.","I'm feeling really tired today, so I think I'll just stay home and relax."
hella,I'm hella exhausted after pulling an all-nighter.,I'm just tired from studying all night.
vibing,"I'm just vibing solo at home tonight, bingeing some Netflix, no cap.",I'm just going to chill at home tonight and watch some Netflix.
"drained, not vibing",I'm sooo drained and not vibing to go out tonight.,I'm just tired and not in the mood to go out tonight.
hyped,I'm super hyped for the concert this weekend!,I'm really excited for the concert this weekend!
vibing,I’m just vibing and Netflix binging tonight lol.,I'm just going to relax and watch some Netflix tonight.
drained,I'm totally drained today 'cause I stayed up way too late last night.,I'm feeling really tired today after staying up late last night.
"finna, snacks, flick",I'm finna snag some snacks and binge a flick tonight.,I'm going to grab some snacks and watch a movie tonight.
vibing,I'm just vibing with my crew this arvo.,I'm just hanging out with my friends this afternoon.
"chill, vids",I'm just gonna chill and scroll through vids today.,I'm just going to relax and watch some videos this afternoon.
"dying, quick brew, bouncing",I'm just diying with a quick brew before bouncing to work.,I'm just grabbing a quick coffee before heading to work.
"drained, grinding","I'm so drained after grinding all day, just tryna chill now.",I'm really tired after working all day and just want to relax.
"peaced, fin, chillax",Just peaced out from my homework and I'm fin to chillax for a bit.,I just finished my homework and I'm going to relax for a bit.
"drained, fr","I'm super drained and just wanna chill after a long day, fr.",I'm just really tired and want to relax after a long day.
"drained, hella",I'm hella drained 'cause I pulled an all-nighter studying.,I'm really tired after staying up all night studying.
"bounce, grub","Yo, wanna bounce and get some grub later?","Hey, do you want to grab lunch together later?"
"vibing, snags",I'm just vibing to the store to snag some snacks.,I'm just heading to the store to pick up some snacks.
peep,"Yo, did you peep the new flick yesterday?","Hey, did you see the new movie yesterday?"
"drained, grindin","I'm hella drained after grindin' all morning, ngl.",I'm really tired today after working all morning.
dip,"Yo, wanna dip for some coffee after class?","Hey, do you want to go grab some coffee after school?"
grub,I'm hitting up grub with my squad later.,I'm going to grab some food with my friends this afternoon.
hyped,I'm super hyped 'cause my fave band is hitting the city this weekend!,I'm really excited because my favorite band is coming to town this weekend.
chillin',"Yo, just crushed my homework and now I’m chillin’ for a sec.","Hey, I just finished my homework and I’m about to relax for a bit."
finna,"I'm finna get coffee with my homie later, fr.",I'm going to grab a coffee with my friend later.
"hoofing, snack spot, munchies",I'm just hoofing it to the snack spot to grab some munchies.,I'm just walking to the store to buy some snacks.
finna,"I'm just finna get some coffee and bounce to the library, fr.",I'm just going to grab some coffee and then head to the library.
"drained, chill, kickback","I'm so drained after today, just wanna chill and kick back.","I'm really tired after a long day, I just want to relax."
"chillin', flicks",I'm just chillin' at home and binge-watching some flicks today.,I'm just going to relax at home and watch some movies today.
lit,"I'm about to LITty with my crew at the mall later, fr fr.",I'm going to hang out with my friends at the mall later.
fire,"Yo, I peeped you at the mall yesterday and you were fire legit!","Hey, I saw you at the mall yesterday and you looked really cool."
vibing,"I'm just vibing at home, scrolling through vids online.","I'm just chilling at home, watching some videos online."
drained,"I'm totally drained after a long day at school, fr.",I'm really tired after a long day at school.
"drained, grindin'","I'm totally drained after grindin' all day, fr fr.",I'm so tired after working all day.
dead (tired from staying up all night),I'm dead tired today after pulling an all-nighter yesterday.,I'm so tired today after staying up late yesterday.
zapped,I'm mad zapped after pulling a midnight cram sesh.,I'm so tired after staying up all night studying.
"drained, tryna","I'm so drained today, not tryna do anything rn.",I'm just really tired today and not in the mood to do anything.
chillin,I'm just chillin' with my crew tonight.,I'm just going to hang out with some friends tonight.
"vibing, kick",I'm vibing to hit the mall later and kick it with my crew.,I'm thinking about going to the mall later to hang out with my friends.
hyped,I'm super hyped to hang with my crew later! 🔥,I'm really excited to see my friends later today.
finna,I'm just finna get some coffee and chill at home.,I'm just going to grab some coffee and relax at home.
"tired, chill",I'm dead tired today and just wanna chill out.,I'm feeling really tired today and just want to relax.
"chillin, vibing","I'm chillin' at home, vibing and binge-watching some shows.","I'm just sitting at home, relaxing and watching some TV."
"wiped, tryna","I'm totally wiped today and not tryna step out, fr.",I'm just really tired today and I don't feel like going out.
"finna, chillax",I'm just finna sip some java and chillax for a minute.,I'm just going to grab a coffee and relax for a bit.
"chill, vibe","I'm dead tired today, so I’m just gonna chill at home and vibe.","I'm feeling really tired today, so I think I’ll just stay home and relax."
blazing,"No cap, it's blazing today!",I can't believe how hot it is today!
copped,"Just copped a fresh hoodie and it's mad comfy, no cap!",I just bought a new hoodie and I love how cozy it feels.
"exhausted, no cap","I'm straight-up exhausted 'cause I was binge-watching movies till late, no cap.",I'm so tired today because I stayed up late watching movies.
snacks,"Yo, just hit the store and snatched some snacks, fr fr!","Hey, I just got back from the store and bought some snacks."
vibing,"I'm just vibing solo, binge-watching shows at my place.",I'm just chilling at home watching some TV.
drained,"I'm super drained after school today, fr.",I'm really tired after class today.
finna,I'm finna grub with my crew later.,I'm going to grab lunch with my friends later.
vibing,I'm just vibing at the mall with my friends today.,I'm just going to hang out with my friends at the mall today.
"vibing, peeped",I'm vibing 'cause I peeped a fresh new phone yesterday.,I'm really happy because I got a new phone yesterday.
vibe,I'm just gonna vibe at home this weekend.,I'm just going to chill at home this weekend.
nah,"Yo, you hitting up the café later or nah?","Hey, are you going to the cafe later?"
"tired, chill, vibe","I'm mad tired today, just wanna chill at home and vibe.",I'm really tired today and just want to stay in and relax.
vibing,"Yo, just wrapped my cramming sesh for the test and I’m vibing.","Hey, I just finished studying for my test and I feel pretty good about it."
"dead, chill, veg","I'm totally dead today, so I'm just gonna chill at home and veg out.","I'm really tired today, so I think I’ll just stay home and relax."
drained,I'm super drained after a whole day grind.,I'm really tired after a long day of work.
wanna,"Yo, wanna hit the movies tonight?","Hey, do you want to go to the movies tonight?"
tryna,"Yo, you tryna hit up for snacks after class?","Hey, do you want to grab a snack after school?"
"java, vibe","Yo, let's get some java and vibey at the park, fr.",Let's grab some coffee and chill at the park.
vibing,"I'm just vibing at home after a whole day, no cap.",I'm just trying to relax at home after a long day.
munchies,"Yo, wanna hit up some munchies later?","Hey, do you want to grab some food later?"
"drained, vibe",I'm hella drained today and just wanna vibe at home.,I'm really tired today and just want to stay home.
deadass,"Yo, just wrapped up my homework and I'm deadass exhausted.","Hey, I just finished my homework and I'm really tired."
"vibe, YouTube vids",I'm just gonna vibe at home and binge some YouTube vids.,I'm just going to chill at home and watch some YouTube videos.
snags,I'm heading to the store to snag some snacks.,I'm going to the grocery store to buy some food.
about,"Yo, I'm about to hit up Starbucks before work, fr.","Hey, I'm going to grab some coffee before work."
"drained, grind","I'm so drained after grinding all day, fr.",I'm really tired after working all day today.
chill,I'm just gonna chill and scroll through some vids tonight.,I'm just going to relax and watch some videos tonight.
dead,"I'm dead tired, lowkey just gonna chill at home today.","I'm really tired, I think I'll just stay home and relax today."
"drained, grinding","I'm totally drained after grinding all day, fr fr.",I'm just really tired after studying all day.
nah,"Yo, you hitting the party tonight or nah?","Hey, are you going to the party tonight?"
"drained, ground",I'm totally drained after grinding all day at work.,I'm so tired after the long day at work.
vibing,"Chillin' at home, vibing to some tunes, no cap.",I'm just going to relax at home and listen to some music.
"hyped, flex",I'm so hyped for the weekend to flex with my squad.,I'm really excited for the weekend to hang out with my friends.
vibe,"Yo, I just knocked out my homework and I’m all set to vibe.","Hey, I just finished my homework and I’m ready to chill."
peeped,"Yo, just peeped a sick vid online!","Hey, I just saw a really cool video online."
"chillin', vibing","Yo, I was chillin' outside and vibing with the good weather.","Hey, I was just sitting outside and enjoying the nice weather."
vibing,I'm just vibing with a walk in the park to chill.,I'm just going for a walk in the park to relax.
down,"Yo, are you down to grab some coffee later?","Hey, are you free to grab coffee later?"
kick,I'm hitting the mall to kick it with my squad.,I'm going to the mall to hang out with my friends.
wiped,I'm super wiped today 'cause I didn’t catch enough Z's last night.,I'm really tired today because I didn’t sleep well last night.
vibing,I'm vibing kinda exhausted today.,I'm just feeling pretty tired today.
tryna,I'm just tryna chill and binge some vids tonight.,I'm just trying to relax and watch some videos tonight.
"chill, pad","Chillin' at my pad, vibing out to some tunes.",I'm just relaxing at home and listening to music.
"chilled, vibe","I'm super drained today, so I might just chill at home and vibe out.",I'm really tired today so I think I want to stay home and relax.
"hyped, fire","I'm super hyped to hit up the new spot downtown, it's gonna be fire!",I'm really excited to go to the new cafe downtown.
grub,"Yo, wanna catch some grub later?","Hey, do you want to grab a bite to eat later?"
"drained, snooze","I'm mad drained today and just wanna click 'snooze' on life, fr.",I'm just really tired today and feel like staying in bed.
"vibing, chill",I'm just vibing through the day and keeping it chill.,I'm just trying to get through the day and stay positive.
wiped,"I'm super wiped from the day, so I'm just chillin' at home.","I'm really tired after a long day, so I'm just going to relax at home."
hyped,"OMG, I’m so hyped for the concert this weekend!",I'm really excited about the concert this weekend!
"chillin', binging","I'm just chillin' at home and binging some Netflix, no cap.",I'm just relaxing at home and watching some Netflix.
dipped,"Yo, just dipped from the mall with my squad, fr fr.","Hey, I just got back from the mall with my friends."
shook,"I'm shook, today's been max hectic.",I can't believe how busy I am today.
"dead, fr","I'm so dead today 'cause I got no sleep last night, fr.",I'm really tired today because I didn't get much sleep last night.
lit,"Yo, I just caught my fave band live last night, it was lit!","Hey, I just saw my favorite band perform live last night."
"mad, Z's",I'm mad tired today ’cause I didn’t catch enough Z’s last night.,I'm really tired today because I didn't get enough sleep last night.
"drained, tryna","I’m so drained today, I’m not tryna step out, fr.",I'm just really tired today and don’t feel like going out.
"chill, TikTok","I'm just gon' chill and binge some TikTok, fr fr.",I'm just going to relax and watch some TikTok videos.
vibing,"I'm vibing with my crew at the park later, fr.!",I'm going to hang out with my friends at the park later.
"gonna, vibe",Gonna sip some coffee real quick before vibe at work.,I'm just grabbing some coffee before work.
deadass,"I'm deadass exhausted today, so I'm just chillin' at home instead of hitting the town.",I'm just really tired today and feel like staying in instead of going out.
hyped,"I'm totally hyped to chill with my friends later, fr fr.",I'm really excited about hanging out with my friends later.
hyped,"Bro, I’m hyped for the new game dropping tomorrow!",I'm really excited about the new game coming out tomorrow.
pulling,Are you pulling up to the party tonight?,Are you going to the party tonight?
"evished, grindin'","I'm evished after grindin' all day, fr fr.",I'm just really tired after working all day.
dropped,"Yo, did y'all peep the new flick that Dropped yesterday?","Hey, did you see the new movie that just came out yesterday?"
vibing,I'm just vibing with a little walk to clear my mind.,I'm just going for a walk to clear my head.
later,"Yo, wanna snag a quick coffee l8r?","Hey, do you want to grab a quick coffee later?"
"drained, hella",I'm hella drained today ‘cause I pulled an all-nighter last night.,I'm just really tired today because I stayed up too late last night.
hella,"I'm hella drained after pulling an all-nighter, fr.",I'm just really tired from studying all night.
drained,"Honestly, I’m super drained today and just wanna chill at home.",I’m really tired today and just want to relax at home.
"vibing, binge-watching",I'm vibing out and binge-watching some shows today.,I'm just going to relax and watch some TV today.
"drained, tryna","I'm so drained today, just tryna chill at my crib.",I'm really tired today and I just want to relax at home.
pulling,You pulling up to the party tonight?,Are you coming to the party tonight?
drained,I'm mad drained after a whole day at the grind.,I'm just pretty tired after a long day at work.
vibing,I'm just vibing with my friends this weekend.,I'm just going to hang out with friends this weekend.
hitting,"Yo, are you hitting up the party this weekend?","Hey, are you coming to the party this weekend?"
vibe,"That flick was a vibe, I mess with it!","That movie was really good, I loved it!"
"drained, fr","I'm super drained today and just wanna chill at home, fr.",I'm just really tired today and feel like relaxing at home.
"tired, bopped","I'm mad tired today and bopped out last night, fr.",I'm just really tired today and couldn't sleep well last night.
vibing,I'm just vibing at home after a super hectic day.,I'm just relaxing at home after a busy day.
dead (tired),I'm dead tired today 'cause I barely slept lol.,I'm really tired today because I didn't get much sleep.
chillin,I'm just chillin' at the crib today.,I'm just going to relax at home today.
hilarious,"Yo, I saw your new vid and it was totally hilarious!","Hey, I saw your new video and it was really funny!"
vibing,"Yo, just knocked out my homework, now I’m vibing and chillin’ for a bit.","Hey, I just finished my homework and I'm going to relax for a bit."
drained,"I'm so drained after a whole day of classes, fr.",I'm just really tired after a long day at school.
hyped,I'm suuuper hyped to chill with my squad tonight.,I'm so excited to hang out with my friends tonight.
"dead, lowkey",I'm hella dead tired today and lowkey vibing with the gloom.,I'm just really tired today and feeling kind of down.
chill,"Yo, I just wanna chill at my place today.","Hey, I just want to relax at home today."
hit,"Yo, wanna hit up some coffee after class?","Hey, do you want to grab coffee after school?"
"dead, no cap",I'm mad dead tired today 'cause I napped like no cap.,I'm feeling pretty tired today because I didn't sleep well.
"drained, vibes","I'm hella drained today, so I'm just gonna Netflix and vibes at home.","I'm really tired today, so I think I'll just stay home and chill."
"knock, slide",I'm just tryna knock out my homework before I slide with my squad.,I'm just trying to finish my homework before I go out with friends.
finna,I'm just finna cop a quick snack before I hit the books.,I'm just going to grab a quick snack before I start studying.
grind,"Yo, I gotta grind on my homework before I dip with the crew.","Hey, I need to finish my homework before I go out with my friends."
finna,I'm finna hit up some coffee before I dip to work.,I'm going to grab a coffee before heading to work.
dip,"Yo, I might dip the party tonight, fr fr.","Hey, I think I might skip the party tonight."
"chillin, vibing","Chillin' at my place, just vibing with some YouTube drama.",I'm just relaxing at home and watching some YouTube.
hyped,I'm totally hyped for the movie tonight!,I'm really excited for the movie tonight!
"peaced, villain","Yo, just peaced out my homework, now I’m chillin’ like a villain.","Hey, I just finished my homework and I'm relaxing now."
yo,"Yo, did you catch the new ep of that show yesterday? 😂","Hey, did you see the new episode of that show last night?"
vibing,I'm just vibing at home tonight.,I'm just going to relax at home this evening.
"chillin', squad",I'm just chillin' with my squad at the coffee spot.,I'm just hanging out with my friends at the coffee shop.
"drained, chill, fr","Yo, I’m hella drained today and just wanna chill, fr fr.","Hey, I’m really tired today and just want to relax."
"gonna, snacks",Gonna snag some snacks before the film kicks off.,I'm going to grab some snacks before the movie starts.
"chillin, vibing, flick","I'm chillin' at home, vibing with a flick.",I'm just relaxing at home and watching a movie.
mall,"Yo, you tryna hit the mall later?","Hey, do you want to go to the mall later?"
"vibe, flicks",I'm just gonna vibe at home tonight and binge some flicks.,I'm just going to chill at home tonight and watch some movies.
excited,"I'm hella exhausted today and not tryna do anything, fr.",I'm just really tired today and don't feel like doing anything.
"drained, all-nighter",I'm totally drained 'cause I pulled an all-nighter hitting the books.,I'm really tired today because I stayed up all night studying.
dopest,"Yo, I caught the dopest new flick last night, fr fr.","Hey, I just saw a really cool new movie last night."
vibing,"Yo, I just finished my homework and I’m vibing hard.","Hey, I just got done with my homework and I’m feeling pretty good."
peep,"I'm just gonna peep some snacks before class, fr fr.",I'm just going to grab a snack before class.
"chilled, vibe","I'm absolutely drained today, so I’m just gonna chill at home and vibe.","I'm really tired today, so I think I might just stay in and relax."
hyped,I'm so hyped for the concert this weekend!,I'm really excited about the upcoming concert this weekend.
vibing,I'm just vibing about what to do this weekend.,I'm just thinking about what to do this weekend.
flex,"Yo, you free to flex later?","Hey, are you free to hang out later today?"
"finna, grub",I'm finna snag some grub before the flick drops.,I'm going to grab some food before the movie starts.
copped,I just copped fresh kicks for class. 😎,I just bought a new pair of sneakers for school.
"drained, long-ass (long in this context is a slang term, but it's not commonly recognized as such, and the primary slang term in the sentence is ""drained"")",I'm totally drained after this long-ass day.,I'm really tired after the long day.
peep,"Yo, I might peep some coffee before class, fr.","Hey, I think I'm going to grab some coffee before class."
popping,"I'm just popping off with my friends later, no cap.",I'm just going to hang out with friends this afternoon.
gonna,I'm hitting the store to grab some snacks real quick.,I'm going to the store to buy some snacks.
fr,"I was totally wiped after a long day at work, fr.",I was really tired after a long day at work.
"chill, binge",I'm just gonna chill at home and binge some shows today.,I'm just going to relax at home and watch some TV today.
z's,"Lowkey exhausted today, I gotta catch some Z's.","I'm just really tired today, I think I need some rest."
wiped,I'm totally wiped after a long day grind.,I'm exhausted after a long day at work.
vibing,"Hey, I’m just vibing at home and binge-watching some stuff.","Hey, I’m just relaxing at home and watching some shows."
tryna,"Yo, I'm tryna snag some coffee before I dip to class.",I'm thinking about grabbing some coffee before heading to class.
peeped,"Yo, just peeped my homie at the mall, fr fr!","Hey, I just saw my friend at the mall."
brews,"Yo, I’m heading to the café for some brews, no cap!",I'm heading to the cafe to grab some coffee.
"drained, mega","I'm so drained after a mega long shift, fr.",I'm so tired after a long day at work.
"drained, tryna","I'm totally drained after a long day, just tryna chill and binge some shows.","I'm really tired after a long day, so I just want to relax and watch some TV."
peep,"Yo, peep the new flick last night?",Did you see the new movie last night?
vibing,"I'm just vibing at home, binge-watching my go-to show.",I'm just chilling at home and watching my favorite show.
bloque,"I'm just gonna bloque with my squad this weekend, no cap.",I'm planning to chill with my friends this weekend.
hyped,I'm super hyped to flex with my squad tonight!,I'm really excited to go out and hang out with my friends tonight.
vibin,I'm just vibesing at home tonight.,I'm just going to chill at home this evening.
chillin,I'm just chillin' with my squad at the mall tonight.,I'm just going to hang out with my friends at the mall tonight.
vibing,I'm just vibing with my squad after class.,I'm just hanging out with my friends after school.
peep,"Yo, did you peep the new episode of that show last night?","Hey, did you watch the new episode of that show last night?"
no cap,"Yo, hit me up for some coffee tmrw, no cap!",Let's meet up for coffee tomorrow.
vibing,"Yo, just peeped my homework done and I’m vibing hard.","Hey, I just finished my homework and I’m feeling pretty good."
vibing,I'm just vibing at home after school.,I'm just going to relax at home after school.
"chill, coffee",Gonna vibe with some coffee real quick before hitting up class.,I'm just going to grab a coffee before heading to class.
chill,"Yo, wanna chill at the park later? 😎","Hey, do you want to hang out at the park later?"
grind,Just vibing for a sec before I gotta get back to grinding on homework.,I'm just taking a quick break before I get back to studying.
drained,I'm mad drained today 'cause I stayed up all night yesterday.,I'm feeling really tired today after staying up late yesterday.
down,"Yo, you down to hit up some coffee after work?","Hey, do you want to grab some coffee after work?"
"lowkey, fr","Yo, I’m lowkey tryna snag some grub later, fr fr.","Hey, I was just thinking about grabbing some lunch later."
drained,"Yo, I just hit the grocery run and I'm completely drained!","Hey, I just got back from the grocery store and I'm exhausted."
losin,"Yo, did u peep the new flick everyone's losing their minds over?","Hey, did you see the new movie everyone's talking about?"
"gonna, fr","Gonna sip on some java to kick off my day, fr.",I'm going to grab a coffee to start my day.
wiped,"Yo, just wrapped up my homework and I'm so wiped.","Hey, I just finished my homework and I'm so tired."
peep,"Yo, did you peep your homework today or what?","Hey, did you finish your homework today?"
vibe,"Yo, wanna vibe and chill tonight?","Hey, do you want to hang out this evening?"
vibing,"Yo, I’m just vibing on the idea of grabbing some java later.","Hey, I was just thinking about grabbing some coffee later."
"chill, vibe",I'm just tryna chill and vibe with some vids after a hectic day.,I'm just trying to relax and watch some videos after a long day.
bounce,"Yo, I'm just pulling a quick coffee before I bounce to work.","Hey, I'm just going to grab a coffee before work."
hyped,I'm super hyped to chill with my squad tomorrow.,I'm really excited to hang out with my friends tomorrow.
"link, vibe","Yo, let's link up later and vibe!","Hey, let's meet up later to hang out."
drained,Just wrapped up my homework and I'm MAD drained.,I just finished my homework and I'm feeling really tired.
"drained, caught (no) z's",I'm so drained today 'cause I caught no z's last night.,I'm so tired today because I didn't sleep well last night.
slid,"I'm slide into some coffee with my crew after work, no cap!",I'm going to grab some coffee with my friends after work.
fr,"Yo, I spotted you at the cafe this morning, fr fr.","Hey, I saw you at the cafe this morning."
hella,I'm hella hyped for the weekend ‘cause I’m gonna chill with my squad.,I'm really excited for the weekend because I get to hang out with my friends.
"chill, vids",I'm just gonna vibe at home and scroll some vids.,I'm just going to chill at home and watch some videos.
wiped,"Yo, I'm totally wiped after grinding all morning. ","Hey, I'm really tired today after working all morning."
chill,"I'm just gonna chill with my squad after school, no cap.",I'm just going to hang out with my friends after school.
hits,"Yo, wanna hit up some eats later?","Hey, do you want to go out and grab some food later?"
finna,I'm just finna snack up before I hit the books.,I'm just going to grab a snack before I start studying.
drained,I'm so drained 'cause I pulled an all-nighter cramming last night.,I'm really tired because I stayed up late studying last night.
"drained, tryna",I'm mad drained and not tryna vibe outside tonight.,I'm really tired and don't want to go out tonight.
"peep, vibe",I'm just gonna peep some coffee and vibe at the park.,I'm just going to grab some coffee and chill at the park.
bounce,"I'm contemplating a coffee run and bouncing with my friends afterward, no cap.",I'm thinking about grabbing a coffee and then hanging out with some friends.
nice,"Yo, the weather's mad nice today, perfect for a stroll.","It's really nice outside today, perfect weather for a walk."
squad,"Yo, I'm linking up with my squad at the cafe later, no cap!",I'm meeting my friends at the cafe later today.
"drained, tryna","I'm totally drained after a long day, just tryna chill at home.","I'm really tired after a long day, so I just want to relax at home."
fire,That new bop is straight fire!,That new song is really good!
"chillin', vibing",I'm just chillin’ and vibing with some vids tonight.,I'm just going to relax and watch some videos this evening.
"snag, bounce",I'm just gonna snag some coffee and then bounce to the store.,I'm just going to grab some coffee and then head to the store.
lowkey,"Bruh, I lowkey left my phone home today, no cap.",I can't believe I forgot my phone at home today.
"chill, crib",I'm just tryna chill at the crib after a crazy busy day.,I'm just trying to relax at home after a busy day.
"peep, vibe","Yo, I gotta peep this homework fam before I vibe with my crew.","Hey, I need to finish my homework before I hang out with my friends."
"drained, vibe","I'm hella drained today, might just vibe at home and chill.","I'm feeling really tired today, I might just stay home and relax."
"drained, Z's","I'm mad drained today, I gotta catch some Z's.","I'm really tired today, I think I need to rest."
vibe,"Yo, you tryna vibe later?","Hey, do you want to hang out later today?"
snag,I'm heading to the store to snag some munchies.,I'm going to the store to grab some snacks.
"flex, flick","Yo, wanna flex and hit up a flick tonight?","Hey, do you want to catch a movie tonight?"
hyped,"Yo, I’m super hyped to chill with my crew tomorrow!",I'm really excited about hanging out with my friends tomorrow.
vibe,"Yo, that new film was such a vibe, did you catch it?","Hey, did you see how cool that new movie was?"
snag,I'm about to snag some coffee before I dip to work.,I'm going to grab some coffee before I head to work.
wrapped,"Yo, did you wrap up your homework yet?","Hey, did you finish your homework yet?"
"vibing, chilling",I'm just vibing and chilling after a long grind.,I'm just trying to relax after a long day at work.
"drained, vibe","I'm mad drained today, gonna chill at home and vibe.","I'm really tired today, I think I'll stay home and relax."
deadass,I'm死ass drained today and just wanna stay in bed all day lol,I'm just really tired today and feel like staying in bed all day.
drained,"I'm mad drained today, but I still gotta clock in.","I'm really tired today, but I still have to go to work."
"dipped, fr","Yo, I just dipped from the store and I’m totally wiped, fr.","Hey, I just got back from the store and I’m super tired."
deadass,I'm deadass exhausted today 'cause I woke up mad early.,I'm really tired today because I woke up early.
chillin,"Just chillin' at home, binge-watching my fave show, fr.",I'm just relaxing at home and watching my favorite show.
fr,"Yo, I left my phone at home today, fr.","Hey, I forgot my phone at home today."
drained,I'm super drained today 'cause I was up way past my bedtime last night.,I'm just really tired today because I stayed up way too late last night.
chillin,"Yo, I just wrapped up my homework and I'm so relieved it's done.",I just finished my homework and I'm really glad it's over.
"drained, wanna, flicks","I'm totally drained today, so I just wanna chill and binge-watch some flicks.","I'm really tired today, so I think I'll just relax and watch some movies."
vibe,I'm just gonna vibe at home all day. 🤙,I'm just going to chill at home all day.
hit,"Yo, wanna hit up some coffee after work?","Hey, do you want to grab coffee after work?"
"dive, spot, fire","Yo, just dived into this sick new spot downtown, it's fire!","Hey, I found a really cool new cafe downtown."
ghosting,"Yo, have you peeped my phone? It's ghosting me, can't find it anywhere lol.","Hey, have you seen my phone? I can't find it anywhere."
vibing,I'm just vibing with my friends at the park.,I'm just hanging out with friends at the park.
"vibe, flick","Yo, you tryna vibe and catch a flick tonight?","Hey, do you want to go watch a movie tonight?"
peep,"Yo, peep the fresh poster in the hall, did ya spot it?","Hey, did you see the new poster in the hallway?"
drained,I'm absolutely drained after that long school grind.,I'm really tired after the long day at school.
peep,"Yo, did you peep the new ep of the show last night?","Hey, did you see the new episode of the show last night?"
hit,"Yo, wanna hit up some coffee later?","Hey, do you want to go get some coffee later?"
"lit, snack, bounce","Yo, I’m litty and might snag a snack before bouncing.","Hey, I thought I might grab a snack before heading out."
"gon' (contracted form of ""going"")",I'm just gon' snag some coffee before bouncing to class.,I'm just going to grab some coffee before heading to school.
"tryna, dip",I'm just tryna wrap up my homework before I dip with my squad.,I'm just trying to finish my homework before I go out with my friends.
"drained, vibing, solo, tryna",I'm hella drained today and totally vibing solo — not tryna hit the party.,I'm really tired today and don't want to go to the party.
mall (slang for shopping center),"I'm hitting the mall later, fr fr.",I'm going shopping at the mall this afternoon.
drained,I'm drained 'cause I pulled an all-nighter yesterday.,I'm tired because I stayed up late last night.
vibin,"Yo, how you vibin' today?",How are you feeling today?
z's,"Yo, I’m so dead today 'cause I didn’t catch enough Z’s last night.","Hey, I’m really tired today because I didn’t sleep well last night."
finna,"I'm just finna snag some coffee before bouncing to class, no cap.",I'm just gonna grab some coffee before heading to class.
peep,"Yo, we should peep some coffee later, fr fr.",I think we should grab some coffee later.
"vibing, faves' (drip)","I'm just vibing at home, binge-watching my fave's drip.",I'm just chilling at home watching my favorite show.
dropped,"Yo, did ya catch the new flick that dropped last night?","Hey, did you see the new movie that came out last night?"
"chillin, vibing","Chillin' at home, vibing with some YouTube stuff.",I'm just relaxing at home and watching some YouTube videos.
"deadass, drained","I'm deadass drained after this whole day, no cap.",I'm feeling really tired after such a long day.
kicks,"Yo, just hit the mall and scored some sick kicks!","Hey, I just got back from shopping and found some really cool shoes."
peeped,"Yo, have you peeped the new flick that just dropped?","Hey, have you seen the new movie that just came out?"
"vibing, sick","Your new backpack's totally vibing, looks sick!","I really like your new backpack, it looks great!"
"drained, grindin'",I'm hella drained after grindin' all day at work.,I'm really tired after my long day at work.
lit (speed),"No cap, the pizza got here lightning fast!",I can't believe how quickly the pizza was delivered!
drained,I'm mad drained after a looong day at the 9 to 5.,I'm really tired today after a long day at work.
vibe,Just wrapping up my homework before vibing with the squad.,I'm just finishing up my homework before going out with friends.
"drained, cantbother",I'm super drained today and can't be bothered to do anything lol.,I'm just really tired today and don't want to do anything.
"worn out, grind","I'm worn out after grinding all day, fr fr.",I'm feeling really tired today after working all day.
vibe,"Yo, can you give me a hand with moving this weekend? It's gonna be a whole vibe!","Hey, can you help me move this weekend?"
peep,"Yo, can you peep my homework real quick?","Hey, can you help me with my homework?"
gonna,Gonna hit the store for some snacks later fam.,I'm going shopping for groceries later.
drained,"I'm mad drained after school today, no cap.",I'm so tired after school today.
"vibing, snagging, fr","Yo, I'm vibing with the idea of snagging a coffee before I head to class, fr.",I'm thinking about grabbing a coffee before heading to class.
drained,"I'm totally drained today ’cause I was up all night yesterday, no cap.",I'm really tired today because I stayed up way too late last night.
"exhausted, chill, binge","I'm suuuper exhausted today, just tryna chill and binge some movies, fr fr.","I'm really tired today, I just want to relax and watch some movies."
chill,"Yo, I just knocked out my homework and I'm so chill now.","Hey, I just finished my homework and I'm so relieved."
"drained, ground","I'm totally drained after grinding all day, fr.",I'm really exhausted after studying all day.
vibing,"I'm vibing at home, spinning some tunes. LOL",I'm just chilling at home and listening to some music.
"drained, lowkey",I'm super drained today and totally lowkey not feeling it.,I'm just really tired today and feeling pretty unmotivated.
"drained, cram",I'm mad drained today 'cause I pulled an all-nighter with my cram sesh.,I'm so tired today because I stayed up late studying.
fire,"This new jam is fire, I’m obsessed!","I really like this new song, it’s so good!"
hit,"Yo, wanna hit up lunch together?","Hey, do you want to grab lunch together?"
drained,"Just wrapped up my homework, and I’m totally drained, no cap.",I just finished my homework and I feel pretty tired.
"chill, binge","I'm just gonna chill and binge some shows today, no cap.",I'm just going to relax and watch some shows today.
"drained, grindin'",I'm hella drained today 'cause I was up all night grindin' without rest.,I'm feeling really tired today because I didn't sleep well last night.
"drained, grinding","I'm super drained after grinding all day, just tryna chill now.","I'm really tired after working all day, so I just want to relax now."
"chill, flick","Yo, wanna chill later and catch a flick?","Hey, do you want to hang out later and watch a movie?"
"dead, tryna, veg","Yo, I'm dead tired today, just tryna chill at home and veg out.","Hey, I'm really tired today and just want to relax at home."
