Slang,Description,Example,Context,Informal_Text_Without_Slang,Popularity
Oof,An expression of sympathy.,"Oof, that's tough.","Typically utilized among peers or friends during casual conversations, expressing empathy for someone facing a challenging situation, particularly in online settings or informal social gatherings. Primarily used by younger generations and those comfortable with more relaxed communication styles.","That's really hard, I'm sorry.",High
Receipts,Proof or evidence.,Where are the receipts for your claim?,"Often utilized in casual discussions aimed at verifying or validating claims, especially within online communities and social media platforms. It's popular among various age groups and demographics due to its concise and informal nature. The sentiment can range from assertive to sarcastic, depending on the context of use.","Alright, gotcha. What's the proof for what you said then?",High
Salty,Bitter or upset.,Why are you so salty today?,"Typically used among peers during casual discussions, often when one individual perceives another as being overly negative or resentful, predominantly in informal settings such as social gatherings or online platforms. Primarily popular among younger demographics and internet communities.",Why are you in such a bad mood today?,Medium
Shade,Subtle insult.,She threw some serious shade at the party.,"Young adults or teenagers, typically within social circles or on digital platforms, use this term during informal gatherings or online interactions when expressing subtle criticism or mockery toward others, often in a playful or competitive environment. The term is popular among urban and pop culture communities.",She subtly insulted someone at the party.,High
Simp,Someone who does too much for someone they like.,Stop simping over her.,"Typically used among young adults in casual digital conversations, often between friends or acquaintances, to lightly tease or criticize someone for overly pursuing another person. It is commonly found in online forums and social media platforms, particularly those focused on entertainment or dating. The tone is often playful or mocking, but can also reflect disapproval or caution towards excessive admiration.",Stop being excessively attentive towards her.,High
Slaps,Really good or excellent.,This beat slaps hard.,"Young people in social settings, such as parties or gatherings, often use the term to express enthusiasm towards music, especially hip-hop and electronic genres, particularly among urban demographics, emphasizing appreciation for a strong rhythm or catchy sound.",This beat rocks hard.,High
Vibes,Good energy or atmosphere.,I love the vibes here.,"Young adults and teenagers in casual social settings, such as parties or hangouts, frequently use this term to express approval of a lively, enjoyable atmosphere. The term is often employed to describe favorable impressions of new environments, particularly those associated with entertainment or relaxation.",I dig this place's positive aura.,High
Woke,Being aware of social issues.,Stay woke.,"Originating from activist circles, this expression is commonly used in contemporary discussions on social justice and awareness, particularly among younger generations or progressive communities. The sentiment behind the term leans toward staying informed and vigilant about social issues.",Keep informed on social issues.,High
Yolo,You Only Live Once; a call to take risks.,"I'm gonna do it, YOLO!","Typically expressed among youth or young adults, often during casual gatherings, as a justification for taking risks or embracing spontaneous decisions.","I'm going for it, live life to the fullest!",High
Zoomer,A member of Generation Z.,"As a Zoomer, she's all about TikTok.","In informal social settings, such as online platforms or youth-oriented communities, this term is often used to describe individuals born between the late 1990s and mid-2010s, who are generally tech-savvy and well-versed in contemporary digital culture.","As a Gen-Z-er, she's heavily into TikTok.",Medium
Cancelled,Publicly denounced and rejected.,She's cancelled after that scandal.,"Typically used in contemporary online discourse among young adults, particularly on social media platforms, to express public rejection or denunciation of a person, often following a controversial event or behavior. Sentiment is often negative and serves as a form of digital shaming or backlash against individuals, especially those in the public eye.",She's been strongly criticized and publicly disapproved following that controversy.,High
Cap,A lie or something untrue.,"That's cap, you didn't do that.","In informal settings among young adults or urban communities, often used to express skepticism or disbelief towards a claim made by another person, typically delivered with a sarcastic tone.","That's pure bunkum, you didn't actually do it.",High
Dead,Used to describe something very funny.,"I'm dead, that was hilarious.","This term is often employed in casual settings among friends or peers, particularly during lively discussions or shared experiences that evoke laughter, such as watching comedies or exchanging jokes. It indicates a strong positive sentiment and is commonly used by individuals belonging to a wide range of demographics who appreciate humor and camaraderie.",That was absolutely bloody hilarious!,High
Extra,"Over the top, excessive.",She's so extra with her drama.,"Often utilized among peers in casual social settings, particularly millennials and Gen Z, to comment on excessive or ostentatious behavior. In this example, it is used to denote someone's flamboyant or overly dramatic behavior.",She's really overdoing it with all the dramatics.,Medium
Finna,"Fixing to, about to.",I'm finna go now.,"Commonly employed among young individuals in casual settings, particularly within urban communities, expressing readiness for immediate action or departure.",I'm about to leave now.,Medium
Finesse,To handle something skillfully.,He finessed his way in.,"Primarily used among young adults and urban communities for describing a clever or impressive maneuver, often in social settings or conversations about accomplishments. Frequently heard in casual dialogues, particularly within social media discussions of triumphant moments.",He smoothly managed to get inside.,Medium
Flex,To show off or boast.,He's flexing his new watch.,"Typically observed among peers during social gatherings or online interactions, often used to boast about recent acquisitions or accomplishments, particularly common among younger adults and urban communities.",He's flaunting his new timepiece.,High
Goat,Greatest Of All Time.,Tom Brady is the GOAT.,"Typically utilized in sports discussions to celebrate exceptional players or performance, especially within a youthful and enthusiastic demographic. Often found in informal settings such as online forums, social media platforms, or gatherings of sports fans. The tone conveys admiration, respect, and sometimes rivalry.",Tom Brady is the best of all time.,High
Gucci,Good or cool.,Everything's Gucci here.,"In casual social settings, often among young adults or urban communities, the phrase is commonly used to express approval, agreement, or satisfaction with a situation, typically indicating a positive outcome or feeling. The term has gained popularity in various cultural and demographic circles, both online and offline.",Everything's ace here.,Medium
Hype,Intense excitement.,The hype is real.,"Used among friends or online communities when discussing an upcoming event, trend, or release, particularly in youth culture and digital spaces, to express collective anticipation and enthusiasm.",The excitement is genuine.,High
JOMO,Joy Of Missing Out.,I prefer JOMO to FOMO.,"Typically expressed among young adults and digital natives during leisure or social media activities, often as a self-affirmation about choosing solitude over attending events they consider less appealing.",I'd rather revel in the pleasure of missing out than be consumed by the desire to participate.,Medium
L,Loss or failure.,We took an L today.,"Used primarily in casual, peer-to-peer settings among young adults, often in competitive or sports scenarios, signifying a loss or failure experienced by the speaker's group or self.",Took a loss today.,High
Lit,"Exciting, fun, or excellent.",This party is lit.,"Frequently used among youth and young adults at lively social gatherings, such as parties or concerts, to express excitement or approve of the enjoyable atmosphere. Particularly common in informal settings, especially within urban communities or online platforms.",This party is off the chain!,High
Low-Key,Subtly or secretly.,I'm low-key enjoying this.,"In casual, intimate gatherings or online conversations among young adults and urban communities, this sentiment is often conveyed when one secretly enjoys a situation without appearing boastful or drawing attention.",I'm quietly savoring this.,High
Mood,An expression of a relatable feeling or vibe.,That's such a mood.,"Social setting (who, when, where): Young adults or peers, often on social media platforms, comment sections, or messaging apps, while discussing relatable situations, shared experiences, or expressing empathy with one another. Sentiment/tone: Empathetic, understanding, or supportive. Demographics: Primarily millennials and Generation Z, although can be used by anyone who shares a common understanding of the context.",That really hits the spot in terms of expressing a relatable feeling.,High
Salty,Bitter or upset.,Why are you so salty?,"Used in casual, often digital conversations among younger individuals or online communities, typically to express frustration, annoyance, or sarcasm.",Why are you in such a bad mood?,Medium
Savage,"Acting fierce, confident, and unfiltered.",Her clap back was savage.,"This term is often utilized in informal, online settings, particularly among younger demographics, during exchanges where one individual asserts dominance or confidence in a bold, unfiltered manner.",Her comeback was fierce.,High
Shook,Shocked or surprised.,I was shook by the news.,"Often used among young adults or online communities, particularly when expressing strong reactions to unexpected events or news, often with a tone of amazement or disbelief.",I was really taken aback by the news.,High
Slay,To do something exceptionally well.,She slayed that outfit.,"Often used among young adults in informal social settings, such as parties or online platforms, to express admiration for someone's stylish appearance or impressive accomplishment. The sentiment is one of approval and enthusiasm, particularly common within urban or pop-culture oriented demographics.",She nailed that look!,High
Stan,An enthusiastic or obsessive fan.,I'm a stan for that band.,"Typically utilized among youth cultures in casual settings, expressing intense admiration or devotion towards musicians, celebrities, or internet personalities, primarily online and at live events. Demographics range from teenagers to young adults with an interest in popular culture.",I'm really into that band.,High
Sus,Suspicious or questionable.,That seems sus.,"In informal settings among peers, particularly online platforms, this term is often used to express suspicion or doubt about a situation or person's intentions, often with a touch of skepticism and playfulness. It's primarily popular among younger demographics, including Gen Z and millennials.",That seems fishy.,High
Tea,Gossip or the latest news.,"Spill the tea, what happened?","Typically used among friends or acquaintances, often during casual catch-ups, to exchange personal updates and stories about others. The tone is informal and sometimes playful, with a demographic range spanning various age groups and social circles, particularly those who prefer relaxed, informal communication styles.","Dish the details, what's going on?",High
Thicc,Describing someone with a curvy figure.,She's so thicc.,"Typically used casually among peers, often on social media or in person, to express admiration for a curvy physique, predominantly in youth and urban subcultures.",She has such a full figure.,High
Woke,Being aware of social issues.,We need to stay woke.,"Primarily used in contemporary discussions regarding social justice and awareness, often within youth and progressive communities, particularly online settings. The tone is typically serious or engaged, reflecting a heightened concern for social issues.",Let's keep an eye on social issues.,High
Yeet,To throw something with force; also used for excitement.,He yeeted the ball.,"Typically utilized among peers in casual settings, often during sporting activities or playful exchanges, to express excitement or forcefulness. Its usage extends to various age groups and demographics, particularly those who prefer informal or contemporary language.",Hurled the ball!,High
Zoomer,A member of Generation Z.,"As a Zoomer, she's into TikTok.","Typically used among peers in digital social spaces, such as online forums and chat groups, to refer to younger individuals born between the late 1990s and mid-2010s, expressing familiarity and shared cultural references.","Born in the Gen Z era, she's all about TikTok.",Medium
Big Yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.,"Typically occurs in casual conversations among younger generations, often online or in-person settings, to express strong disapproval or awkwardness in a lighthearted manner.","Oh boy, that was an awkward moment indeed.",High
Bop,A song that's really good.,That new track is a bop.,"In casual social settings such as parties or hangouts among friends, this term is commonly used to express enthusiasm for a catchy song. The slang is predominantly favored by younger demographics and carries a positive sentiment in conversations about music preferences.",That fresh tune really slaps!,Medium
Bounce,To leave or exit.,"I'm bouncing, see you later.",Typically used among friends or acquaintances in casual settings when one needs to depart quickly or end a conversation amicably. Common in various social circles but more prevalent among younger generations and informal settings.,"I'm outta here, catch ya later!",Medium
Cancelled,Publicly denounced and rejected.,She's cancelled after that scandal.,"Used predominantly online among young adults, particularly on social media platforms, to publicly denounce and reject individuals or brands perceived as problematic following a controversy or negative event. The sentiment is often critical or judgmental, reflecting contemporary social justice discourse.",She's been heavily criticized following the scandal.,High
Chill,Relaxed or easy-going.,I'm just chilling today.,"Casual conversations among friends or peers, typically during leisure time or relaxation at home or outdoors. Commonly used by younger demographics, especially those from informal and contemporary social circles, expressing a laid-back attitude or contentment with the current situation.",I'm taking it easy today.,High
Clout,Influence or power.,He's just doing it for the clout.,"Typically observed among youth cultures and social media users seeking validation, often used ironically or boastfully, especially during online interactions.",He's merely doing it for the recognition.,High
Deadass,Seriously; genuinely.,I'm deadass not joking.,"Typically utilized among peers in casual conversations to emphasize honesty or sincerity, particularly in youth and urban communities, both online and offline.",I'm seriously not kidding.,High
Drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.,"Young adults in casual social settings, such as parties or online platforms, often use this term to express admiration for someone's stylish outfit. It is particularly popular among urban, fashion-conscious demographics who engage in contemporary trends and social media culture. The tone is usually positive and confident, celebrating personal appearance and style.",Check out my swaggy outfit today.,High
Extra,"Over the top, excessive.",She's so extra with her outfits.,"Often used among peers during casual social interactions, particularly among younger generations, to humorously critique or express admiration for someone's excessive or dramatic style choices, usually within a youth culture setting.",She's really going overboard with her wardrobe choices.,Medium
Finesse,To handle something skillfully.,He finessed his way into the club.,"Typically employed in informal settings among peers discussing triumphant situations, often signifying a clever or cunning maneuver, particularly popular among urban youth and trend-conscious adults.",He smoothly managed to get into the club.,Medium
Ghosting,Suddenly cutting off all communication with someone.,He ghosted me after our date.,"Typically employed in casual conversations to express instances of abrupt disappearance or avoidance during digital interactions, often among young adults and millennials in various social settings online, such as dating apps or social media platforms. The sentiment conveyed is one of confusion, frustration, or disappointment due to unanswered expectations.",He vanished without a trace following our date.,High
Hits Different,Something that resonates on a deep level.,That song hits different.,"This phrase is often utilized among friends or peers during casual conversations about music, expressing deep emotional resonance experienced while listening to a particular song. It's most commonly found within younger demographics and informal settings, particularly among those who prioritize authenticity in their musical preferences.",That song touches something deep within me.,High
JOMO,Joy Of Missing Out.,I'm all about JOMO these days.,"In contemporary digital culture, individuals expressing a preference for solitude or avoiding social pressures often use this term. It is commonly observed among young adults and online communities, particularly during periods of intentional disconnection from excessive socializing, typically in casual settings such as social media platforms or informal gatherings.",I'm really embracing the joy of not keeping up these days.,Medium
Living Rent-Free,Taking up a lot of mental space.,She's living rent-free in my mind.,"Primarily used among friends or acquaintances to express frustration over someone continuously occupying one's thoughts in casual social settings. Popular in contemporary informal conversations, particularly within younger demographics.",She won't stop nagging me in here.,High
Main Character,Acting like the main character in life.,She's totally giving main character vibes.,"In informal settings among friends or online communities, particularly those focused on entertainment and pop culture, this phrase is often used to humorously highlight someone who seems overly self-centered or dramatic, similar to a character in a movie or TV show. It's popular with millennials and Gen Z, especially in social media conversations.",She's really playing the leading role in her own life.,Medium
Normalize,Make something the norm.,We need to normalize self-care.,"In contemporary conversations, particularly among wellness advocates and progressive communities, this phrase is often employed to express a desire for increased acceptance and practice of self-care as a societal norm.",Let's make it a routine to take care of ourselves.,High
Oof,An expression of sympathy.,"Oof, that must have hurt.","Typically used in casual conversations to sympathize or acknowledge discomfort, often among peers and friends in various social settings, both online and offline.","I'm sorry to hear that, it sounds painful.",High
Pressed,Angry or annoyed.,He's so pressed about the situation.,"Typically employed in casual conversations among friends or peers, often signifying frustration or annoyance over a personal or shared predicament, particularly within urban settings and youth demographics.",He's really fired up over that matter.,Medium
Resonate,Something that deeply connects or makes sense.,That quote really resonates with me.,"Often expressed in casual conversations between friends or peers, particularly during sharing of personal experiences or discussions about ideas and beliefs, often emphasizing empathy and shared understanding among the group. Primarily used by individuals from diverse demographics, including millennials and Gen Z.",That quote truly strikes a chord within me.,Medium
Shooketh,Extremely shocked.,I am shooketh by that twist.,"Typically employed among youth or casual groups during lively discussions, often expressing strong surprise and astonishment at an unexpected event. The usage is prevalent in informal settings, particularly online forums and social media platforms.",I'm absolutely flabbergasted by that twist!,Medium
Swerve,To avoid or move away from something.,I had to swerve to avoid the drama.,"Typically employed in casual conversations among young adults or peers to describe quick evasive actions, often used in a variety of social settings, particularly those involving unexpected challenges or difficulties.",Had to dodge that drama.,Medium
Tight,Angry or frustrated.,He's tight about what happened.,"Often expressed among friends or colleagues in casual settings, usually when discussing a frustrating situation or event. Primarily used by individuals aged 18-35 years old in informal conversations, primarily in North American and British English dialects.",He's really pissed off about what occurred.,Medium
Unbothered,Not caring; unaffected.,She's completely unbothered by the hate.,"Typically observed among young adults and online communities, expressing indifference or coolness towards negative situations or criticism, often within casual conversations or social media interactions.",She doesn't seem to mind the hate at all.,High
Wavy,Cool or trendy.,That outfit is wavy.,"Typically exchanged among young adults, often in casual settings such as parties or online platforms, expressing approval or admiration for something trendy or stylish.",That get-up is pretty rad.,Medium
Whip,Car.,Check out my new whip.,"Typically exchanged among peers, often young adults or car enthusiasts, in casual settings like gatherings or online forums, to express excitement about a recent vehicle acquisition or modification.",Check out my fresh set of wheels.,High
Wildin,Acting wild or out of control.,He was wildin' at the party.,"Typically used among youth in casual social settings like parties or gatherings to describe exuberant behavior, often reflecting a playful and lively atmosphere. The term is popular among urban and younger demographics, particularly in informal, conversational English.",He was going wild at the party.,Medium
Wylin,Acting wild or out of control.,She's wylin out here.,"Typically employed among peers during lively gatherings or social events, often signifying exuberant behavior or unconventional actions. Demographics span across younger generations, particularly urban communities.",She's really letting loose out here.,Medium
Zooted,Under the influence.,He's zooted right now.,"Typically employed among peers to casually express high spirits or intoxication, often in casual settings such as parties or social gatherings. Predominantly used by younger adults and those familiar with urban street culture.",He's pretty high at the moment.,Medium
Zoomies,"Sudden burst of energy, often used to describe pets.",My dog has the zoomies.,"Typically utilized in casual, lighthearted conversations about pets, particularly among pet owners or animal enthusiasts, expressing joy and playfulness.",My dog's got a burst of energy.,Medium
Vibe Check,Evaluating someone's mood or the atmosphere.,Let's do a vibe check.,"Friends gathered for an online game session, regularly checking in with each other to gauge the group's morale and maintain positive energy. Primarily used by millennials and Gen Z individuals in digital settings.",How about we feel out the vibes?,High
Spill the Tea,To share gossip or the latest news.,"Come on, spill the tea.","This phrase is often employed in casual conversations among friends or peers, typically sharing personal updates, secrets, or gossip, usually in a light-hearted and informal setting such as social gatherings or online chats. It is popular among younger demographics, particularly those who are tech-savvy or active on social media.",Let's hear all the latest scoop!,High
Big Yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.,"Typically found in casual online discussions among younger demographics, often used to express strong discomfort or amusement in social settings, such as comment sections or group chats.","Holy moly, that was a mortifying instance.",High
Boujee,Luxurious or fancy.,Living the boujee life.,"Typically employed among young adults and urban communities, expressing an aspiration for or admiration of extravagant lifestyles, often in social gatherings or online conversations.",Savoring the high-end lifestyle.,High
Bodega,"A small grocery store, typically in an urban area.",I'm heading to the bodega.,"Typically used in urban settings during casual conversations, often indicating a quick errand for necessities. Widely adopted by diverse demographics, particularly among residents living in densely populated areas. Sentiment is neutral and pragmatic.",Heading to the corner store.,Medium
Gassed Up,Feeling excited or confident.,I'm so gassed up for the concert.,"Usually employed among young adults or peers during social gatherings, such as parties or group outings, to express excitement and anticipation, often related to entertainment events like concerts.",I'm really hyped for the concert!,Medium
Swerve,To avoid or dodge something.,She had to swerve that awkward conversation.,"Typically used among peers in casual settings or online platforms to navigate uncomfortable situations, often indicating evasion or diversion. Primarily utilized by young adults and millennials, especially in urban environments.",She needed to dodge that uncomfortable chat.,Medium
Tight,Angry or frustrated.,Why are you so tight today?,"Typically exchanged among peers in casual settings, often to express annoyance or frustration in an informal social circle, especially among younger demographics.",What's getting you all worked up today?,Medium
Drip,Stylish or fashionable.,Check out my drip.,"Typically exchanged among young adults, particularly within social media platforms, to express admiration for someone's fashionable appearance, often during casual settings or virtual interactions.",Check out my swag.,High
Facts,Used to agree with something true.,That's facts.,"Primarily used in casual, urban settings among friends or peers, often during conversation about shared experiences or common knowledge, expressing agreement and validation.",Absolutely true.,High
Fire,Really good or excellent.,That song is fire.,"Usually employed casually among peers to express enthusiasm or admiration for something outstanding, such as music or fashion, particularly among younger generations and urban communities.",That song's killer!,High
Hypebeast,"Someone obsessed with fashion, especially streetwear.",He's such a hypebeast.,"Typically used among youth or fashion enthusiasts, often in casual conversations, particularly when discussing trends or exclusive items within the streetwear community. The tone can range from admiration to mockery, depending on the context and personal opinions.","He's so into fashion trends, especially streetwear.",High
Keep it 100,To be honest and truthful.,I'm just keeping it 100 with you.,"Often used among peers or friends during casual conversations to express sincerity and honesty about personal feelings or opinions, particularly in informal settings such as social gatherings or online chats. Popular among younger demographics, especially within urban cultures.",I'm straight-up being honest with you.,High
Lit,"Exciting, fun, or excellent.",That party was lit.,"Typically employed among peers during lively social events or discussions, expressing enthusiasm or approval, particularly prevalent in contemporary youth culture and urban settings.",That party was rad.,High
No Cap,No lie; truth.,"That's the best movie, no cap.","In informal online or offline settings among youth and urban communities, often used to affirm truthfulness or emphasis during conversations about personal experiences or shared interests.","Absolutely, that's the top-notch movie, no lie.",High
Plug,Someone who can supply something needed.,He's the plug for all the best snacks.,"Typically used in casual conversations among friends or within communities, highlighting a reliable source of desired items, often in urban settings, carrying a positive and appreciative sentiment. Demographics include young adults and diverse urban populations.",He's your go-to guy for the finest treats.,Medium
Salty,Bitter or upset.,Why are you so salty?,"Typically utilized in casual conversations among peers to express frustration or resentment, especially during online discussions and video games, particularly among younger demographics.",Why are you so bitter?,Medium
Slay,To do something exceptionally well.,You slayed that presentation.,"Typically employed in casual conversations among friends or colleagues to commend exceptional performance, often in professional settings like business meetings or workshops. Popular among younger demographics and those who value a more informal language style.",Nailed that presentation!,High
Sneak Diss,A subtle or indirect insult.,Was that a sneak diss?,"In casual conversations among teenagers and young adults, often in social media exchanges or informal gatherings, they may use such remarks as a playful form of friendly rivalry or indirect criticism, especially when discussing popular culture or personal achievements.",Was that a quiet dig at them?,Medium
Stay Woke,"Stay aware, especially of social issues.",Stay woke about what's happening.,"Often employed in contemporary discussions focusing on social awareness, particularly within online communities and among younger generations, expressing a desire for continuous engagement with current events and social issues.",Keep an eye open to what's going on.,High
Thicc,Describing someone with a curvy figure.,She's so th,"Often utilized among peers in casual social settings or online platforms, primarily by younger generations, to express admiration for a curvy figure. Tone is typically playful and friendly.",She has such a luscious curves figure.,
