normal,gen_z,Slang
"Hey, did you see that new movie everyone’s talking about?","Yo, did you peep that new flick everyone's vibing about?",Heard the new movie everyone's buzzing over?
"Hey, do you want to grab lunch together today?","Yo, wanna slide out for some lunch today?",Wanna hit up a spot for lunch today?
I'm going to grab some coffee before I head to school.,I'm finna sip some coffee before I bounce to class.,'bout-a sip somethin' (coffee) afore I skedaddle to class
I'm just going to relax and watch some YouTube videos.,"I'm just chillin' and vibin' with some YouTube, no cap.","Chillin', vibin'"
"Hey, have you seen that new movie everyone's talking about?","Yo, have you peeped that new flick everyone’s vibin' on?","Heard the new movie everybody's loving? (Slang terms: ""peeped"", ""vibin'"")"
"Hey, do you want to grab some lunch after school?","Yo, wanna snag some lunch after class?",Wanna grab lunch post-class?
I'm feeling really tired today and just want to relax at home.,"I'm super woke and just wanna chill at my crib today, lowkey exhausted.",chilled (at home) & lowkey tired
I'm just really tired today and think I might stay home.,"I'm mad exhausted today, probably just gonna ghost at home.",burned out
I'm just going to relax and watch some TV tonight.,I'm just vibing at home and binge-watching some shows tonight.,"Chillin' at home, marathon-streaming some series tonight."
I'm just going to grab some lunch before heading to work.,"Pulling a quick snack run before I dip to work, fr fr.","dashing out for a quick bite before I head to work, for real"
I'm really excited about the concert tonight!,I'm totally hyped for the concert tonight!,pumped
I'm really tired today because I stayed up too late last night.,I'm soooo exhausted today ’cause I was up all night last night 😴.,burnt out
"I'm really tired after the long day, so I just want to relax and watch some TV.","I'm totally drained after today, just wanna chill and binge some shows.","burnt out, wanna veg out and watch series"
I was just relaxing at home and watching some TV.,"I was just vibing at home, bingeing some shows, no cap.","Chillin' at home, watching series, no lie."
I'm just relaxing at home and watching some shows.,"Chillin' at home, vibing with some Netflix, no cap.","Chilling (at home), vibing (with some Netflix)"
I'm just going to grab some coffee before we head out.,Gonna snag some coffee real quick before we dip out.,"Gonna grab some coffee quick, then bail. (snag = grab, bail = leave)"
I'm just chilling at home and watching some YouTube.,"I'm just vibing at home and binge-watching some YouTube, no cap.","Chillin' at home, YouTube binge-watchin', no lie."
"Hey, I'm going to grab some coffee later. Do you want to come along?","Yo, I'm about to hit up Starbucks later. Wanna roll through?",Wanna chill at Starbucks later?
I'm really excited about tomorrow's game.,I'm hyped for the game tomorrow!,pumped
"Hey, do you want to hang out tonight?","Yo, wanna vibe tonight?",Chill (together) tonight?
I'm just going to relax at home tonight and watch a movie.,I'm just tryna chill at home tonight and binge a flick.,"chilling, binge-watching"
I was just relaxing at home and watching some videos.,"I was just chillin' at home, vibing with some vids.","chilling, vibing"
I'm just trying to relax and hang out with friends tonight.,I'm just tryna chill and vibe with my crew tonight.,Chillin' and vibin'
"Hey, do you want to grab some coffee after school?","Yo, wanna hit up Starbucks after class?",chill (at) Starbucks (after class)?
"Hey, do you want to hang out at the mall today?","Yo, you down to vibe at the mall today?",Wanna hang out at the mall today?
I'm feeling really tired after that long day at work.,"I'm dead exhausted after that long grind, fr.",drained (exhausted)
I'm just hanging out with my friends at the mall today.,Just vibing with my squad at the mall today.,Chillin' with crew at mall today.
I'm going to meet my friends at the mall later.,"Catching my friends at the mall later, fr fr.","Chillin' at the mall later, fo' sho."
I'm heading out to get some coffee with my friends.,I'm off to grab some java with my squad ☕🔥,hanging with crew (for java)
"Hey, I just finished my homework and I'm gonna relax for a bit.","Yo, just wrapped my homework, finna chill for a sec.",Gonna (relax)
"I'm really tired today, I think I just want to stay home and relax.","I'm mad tired today, just wanna chill at home and vibe out.",burnt out
"Hey, did you see the new movie that came out yesterday?","Yo, did you peep the new flick that dropped yesterday?","Heard about the new movie that came out yesterday? (Slang term: ""peep"")"
I'm going out to grab some coffee with my friends.,I'm bouncing to get some java with my squad.,Chillin' (to) grab coffee with crew
"Hey, are you free to hang out later after school?","Yo, you chillin’ to hang out later after school?",Chillin' (to) Hang (out) Later
I'm going to grab some coffee before class.,"I'm finna snag some java before class, fr.","Gonna grab some coffee before class, fam. (Note: ""finna"" is short for ""fixing to"", and ""fr."" is short for ""for real"")"
"Hey, let's grab some coffee later.","Yo, let's snag some java later, fr.","chillin', let's grab coffee later, bro. (Extracted slang term: ""chillin'"", ""bro"")"
I'm just going to grab some lunch with my friends later.,I'm just finna chill with my squad for some grub later.,gon' hang wit' my crew latah (for food)
I'm probably going to stay home and watch some movies tonight.,"I'm just chillin' at home, binge-watching some flicks tonight.",Chillin' -> Chilling (slang for relaxing or hanging out)
I'm really tired today after staying up all night studying.,I'm hella exhausted today 'cause I pulled an all-nighter studiyng. ,exhausted (hella)
"Hey, I forgot my keys at home this morning.","Bruh, I left my keys at home today, no cap!",bro
"Hey, I just finished my homework and I'm ready to relax.","Yo, just knocked out my homework, now I'm chillin' ✌️.","Crushed homework, chilling. (slang term: crushed)"
"Hey, I saw her at the mall earlier today.","Yo, I peeped her at the mall earlier today.",Spotted her at the mall earlier.
"Hey, do you want to grab some lunch later?","Yo, you down to snag some lunch later?",You up for grabbing some grub later?
"I'm just chilling at home, watching some movies.","I'm just vibing at home, catching some flicks.","Chillin', watchin' movies"
I'm going to grab some coffee with my friend tomorrow.,I'm finna hit up my buddy for some coffee tomorrow.,gonna
"Hey, I just finished my homework and I’m ready to hang out.","Yo, just slapped that homework and I’m out here vibing now.","Crushed homework, now vibing"
I'm really tired today because I didn’t get enough sleep.,I'm totally drained today 'cause I barely slept 😴.,exhausted
"Hey, are we still on for the movie tonight?","Yo, are we still vibing for the movie tonight?",Still feelin' it for the movie tonight?
I'm going to grab a coffee with my friends later.,"I'm finna brew up some coffee with my squad later, fr.",gonnabrew
I'm just seeing what my friends are up to today.,Just vibing to see what my squad's on today.,"Chillin', checkin' in on crew today."
"Hey, I was thinking about going shopping later.","Yo, I’m vibing with the idea of hitting the mall later, fr.","Chillin', let's shop at the mall later, bro."
"I'm feeling really tired today, so I think I'll just stay home and relax.","I'm hella drained today, so I’m just gonna chill at home and vibe.","exhausted, chilling at home, vibing"
I'm just tired from studying all night.,I'm hella exhausted after pulling an all-nighter.,I'm really exhausted (after pulling an all-nighter).
I'm just going to chill at home tonight and watch some Netflix.,"I'm just vibing solo at home tonight, bingeing some Netflix, no cap.","Chillin' solo at home tonight, watchin' Netflix, no lie."
I'm just tired and not in the mood to go out tonight.,I'm sooo drained and not vibing to go out tonight.,"burnt out, ain't feelin' it"
I'm really excited for the concert this weekend!,I'm super hyped for the concert this weekend!,pumped
I'm just going to relax and watch some Netflix tonight.,I’m just vibing and Netflix binging tonight lol.,Chillin' and binge-watching on Netflix tonight.
I'm feeling really tired today after staying up late last night.,I'm totally drained today 'cause I stayed up way too late last night.,burned out
I'm going to grab some snacks and watch a movie tonight.,I'm finna snag some snacks and binge a flick tonight.,gonnagrab somesnacksandwatchamovie tonigh
I'm just hanging out with my friends this afternoon.,I'm just vibing with my crew this arvo.,Chillin' with my squad this afternoon.
I'm just going to relax and watch some videos this afternoon.,I'm just gonna chill and scroll through vids today.,Chillin' and scrollin' vids
I'm just grabbing a quick coffee before heading to work.,I'm just diying with a quick brew before bouncing to work.,chilling (quick drink) -> rushing
I'm really tired after working all day and just want to relax.,"I'm so drained after grinding all day, just tryna chill now.",burnt out / want to chill
I just finished my homework and I'm going to relax for a bit.,Just peaced out from my homework and I'm fin to chillax for a bit.,Bailed (on homework) and feeling relaxed (chillin')
I'm just really tired and want to relax after a long day.,"I'm super drained and just wanna chill after a long day, fr.","burned out, chillin'"
I'm really tired after staying up all night studying.,I'm hella drained 'cause I pulled an all-nighter studying.,exhausted (from staying up all night studying)
"Hey, do you want to grab lunch together later?","Yo, wanna bounce and get some grub later?","Wanna chill and grab some food later? (I used ""chill"" as a replacement for ""bounce,"" which is often used to mean hanging out or going out, and ""grab some food"" is a colloquial way of saying eat.)"
I'm just heading to the store to pick up some snacks.,I'm just vibing to the store to snag some snacks.,Chillin' at the shop for some grub.
"Hey, did you see the new movie yesterday?","Yo, did you peep the new flick yesterday?","Catch that new movie yesterday? (slang: ""peep"" for ""see"")"
I'm really tired today after working all morning.,"I'm hella drained after grindin' all morning, ngl.",exhausted (after hustling all morning)
"Hey, do you want to go grab some coffee after school?","Yo, wanna dip for some coffee after class?",Wanna hit up a coffee shop after class?
I'm going to grab some food with my friends this afternoon.,I'm hitting up grub with my squad later.,hanging out (eating) with friends later
I'm really excited because my favorite band is coming to town this weekend.,I'm super hyped 'cause my fave band is hitting the city this weekend!,excited (about) favorite band playing (this) weekend
"Hey, I just finished my homework and I’m about to relax for a bit.","Yo, just crushed my homework and now I’m chillin’ for a sec.",nailed it (slang for completed something successfully)
I'm going to grab a coffee with my friend later.,"I'm finna get coffee with my homie later, fr.",gonna
I'm just walking to the store to buy some snacks.,I'm just hoofing it to the snack spot to grab some munchies.,boltin' over to the chow joint for grub
I'm just going to grab some coffee and then head to the library.,"I'm just finna get some coffee and bounce to the library, fr.",gonna (go) chill (at) lib (library)
"I'm really tired after a long day, I just want to relax.","I'm so drained after today, just wanna chill and kick back.","burned out, wanna chill n relax"
I'm just going to relax at home and watch some movies today.,I'm just chillin' at home and binge-watching some flicks today.,Chillaxing (at home) & binge-watching movies
I'm going to hang out with my friends at the mall later.,"I'm about to LITty with my crew at the mall later, fr fr.","Gonna party hard with my friends at the mall later, for real."
"Hey, I saw you at the mall yesterday and you looked really cool.","Yo, I peeped you at the mall yesterday and you were fire legit!",You're lit!
"I'm just chilling at home, watching some videos online.","I'm just vibing at home, scrolling through vids online.",Chilling (at home) browsing clips online.
I'm really tired after a long day at school.,"I'm totally drained after a long day at school, fr.",burned out
I'm so tired after working all day.,"I'm totally drained after grindin' all day, fr fr.","burned out from grinding all day, for real"
I'm so tired today after staying up late yesterday.,I'm dead tired today after pulling an all-nighter yesterday.,Zonked
I'm so tired after staying up all night studying.,I'm mad zapped after pulling a midnight cram sesh.,fried
I'm just really tired today and not in the mood to do anything.,"I'm so drained today, not tryna do anything rn.",burnt out no mood
I'm just going to hang out with some friends tonight.,I'm just chillin' with my crew tonight.,Hangin' (with friends)
I'm thinking about going to the mall later to hang out with my friends.,I'm vibing to hit the mall later and kick it with my crew.,"chillin', hangin' out (at the mall) with pals"
I'm really excited to see my friends later today.,I'm super hyped to hang with my crew later! 🔥,pumped
I'm just going to grab some coffee and relax at home.,I'm just finna get some coffee and chill at home.,gonna
I'm feeling really tired today and just want to relax.,I'm dead tired today and just wanna chill out.,"burnt out, wanna chill"
"I'm just sitting at home, relaxing and watching some TV.","I'm chillin' at home, vibing and binge-watching some shows.",Chillaxing (at home)
I'm just really tired today and I don't feel like going out.,"I'm totally wiped today and not tryna step out, fr.",exhausted ain't movin'
I'm just going to grab a coffee and relax for a bit.,I'm just finna sip some java and chillax for a minute.,"Chillin', gonna sip coffee"
"I'm feeling really tired today, so I think I’ll just stay home and relax.","I'm dead tired today, so I’m just gonna chill at home and vibe.","exhausted, chilling at home, vibing"
I can't believe how hot it is today!,"No cap, it's blazing today!",lit (slang for something being great or impressive)
I just bought a new hoodie and I love how cozy it feels.,"Just copped a fresh hoodie and it's mad comfy, no cap!",Fresh hoodie (slang term: cop)
I'm so tired today because I stayed up late watching movies.,"I'm straight-up exhausted 'cause I was binge-watching movies till late, no cap.",burnt out (from binge-watching)
"Hey, I just got back from the store and bought some snacks.","Yo, just hit the store and snatched some snacks, fr fr!","Copped some grub, fo' real!"
I'm just chilling at home watching some TV.,"I'm just vibing solo, binge-watching shows at my place.",Chillin' solo
I'm really tired after class today.,"I'm super drained after school today, fr.",burned out
I'm going to grab lunch with my friends later.,I'm finna grub with my crew later.,gonnagrab (with friends later)
I'm just going to hang out with my friends at the mall today.,I'm just vibing at the mall with my friends today.,Chillin' (at the mall) with friends today.
I'm really happy because I got a new phone yesterday.,I'm vibing 'cause I peeped a fresh new phone yesterday.,"Chillin', scored a new phone yesterdays."
I'm just going to chill at home this weekend.,I'm just gonna vibe at home this weekend.,Chillin' (at home)
"Hey, are you going to the cafe later?","Yo, you hitting up the café later or nah?",you gon' meet at café later or naw?
I'm really tired today and just want to stay in and relax.,"I'm mad tired today, just wanna chill at home and vibe.","burned out, want to kick it at home"
"Hey, I just finished studying for my test and I feel pretty good about it.","Yo, just wrapped my cramming sesh for the test and I’m vibing.","study session (implied slang: ""cramming sesh"")"
"I'm really tired today, so I think I’ll just stay home and relax.","I'm totally dead today, so I'm just gonna chill at home and veg out.",exhausted (slacking off)
I'm really tired after a long day of work.,I'm super drained after a whole day grind.,burnt out
"Hey, do you want to go to the movies tonight?","Yo, wanna hit the movies tonight?",Wanna catch a flick tonight?
"Hey, do you want to grab a snack after school?","Yo, you tryna hit up for snacks after class?",Wanna grab some grub post-class?
Let's grab some coffee and chill at the park.,"Yo, let's get some java and vibey at the park, fr.","chillin', hangout, park"
I'm just trying to relax at home after a long day.,"I'm just vibing at home after a whole day, no cap.",Chilling (at home)
"Hey, do you want to grab some food later?","Yo, wanna hit up some munchies later?","Chill, let's grab some grub later?"
I'm really tired today and just want to stay home.,I'm hella drained today and just wanna vibe at home.,"exhausted, chill"
"Hey, I just finished my homework and I'm really tired.","Yo, just wrapped up my homework and I'm deadass exhausted.",deadass (exhausted)
I'm just going to chill at home and watch some YouTube videos.,I'm just gonna vibe at home and binge some YouTube vids.,"Chillin' at home, YouTube sesh"
I'm going to the grocery store to buy some food.,I'm heading to the store to snag some snacks.,gonnagetcha (some) grub
"Hey, I'm going to grab some coffee before work.","Yo, I'm about to hit up Starbucks before work, fr.",gonna
I'm really tired after working all day today.,"I'm so drained after grinding all day, fr.",burned out (from overworking)
I'm just going to relax and watch some videos tonight.,I'm just gonna chill and scroll through some vids tonight.,Chillin' and scrollin' thru vids tonight.
"I'm really tired, I think I'll just stay home and relax today.","I'm dead tired, lowkey just gonna chill at home today.","burnt out, chilling"
I'm just really tired after studying all day.,"I'm totally drained after grinding all day, fr fr.","burnt out (after hustling all day, for real)"
"Hey, are you going to the party tonight?","Yo, you hitting the party tonight or nah?",Gonna party tonight or not?
I'm so tired after the long day at work.,I'm totally drained after grinding all day at work.,burnt out
I'm just going to relax at home and listen to some music.,"Chillin' at home, vibing to some tunes, no cap.","Chilling (at home), vibing (to music)"
I'm really excited for the weekend to hang out with my friends.,I'm so hyped for the weekend to flex with my squad.,pumped
"Hey, I just finished my homework and I’m ready to chill.","Yo, I just knocked out my homework and I’m all set to vibe.","Cooled down, done with homework, ready to chill"
"Hey, I just saw a really cool video online.","Yo, just peeped a sick vid online!",just caught a rad video online
"Hey, I was just sitting outside and enjoying the nice weather.","Yo, I was chillin' outside and vibing with the good weather.","Chillin', vibin'"
I'm just going for a walk in the park to relax.,I'm just vibing with a walk in the park to chill.,Chillin' (with a walk in the park)
"Hey, are you free to grab coffee later?","Yo, are you down to grab some coffee later?",Chillin' down for a cuppa joe later?
I'm going to the mall to hang out with my friends.,I'm hitting the mall to kick it with my squad.,Hanging (out) with the crew
I'm really tired today because I didn’t sleep well last night.,I'm super wiped today 'cause I didn’t catch enough Z's last night.,totally zonked
I'm just feeling pretty tired today.,I'm vibing kinda exhausted today.,burned out
I'm just trying to relax and watch some videos tonight.,I'm just tryna chill and binge some vids tonight.,"Chillin', watchin' vids"
I'm just relaxing at home and listening to music.,"Chillin' at my pad, vibing out to some tunes.","Hangin', groovin'"
I'm really tired today so I think I want to stay home and relax.,"I'm super drained today, so I might just chill at home and vibe out.",burned out
I'm really excited to go to the new cafe downtown.,"I'm super hyped to hit up the new spot downtown, it's gonna be fire!","excited to check out the new downtown spot, it'll be lit!"
"Hey, do you want to grab a bite to eat later?","Yo, wanna catch some grub later?",Wanna grab a bite later?
I'm just really tired today and feel like staying in bed.,"I'm mad drained today and just wanna click 'snooze' on life, fr.",burned out
I'm just trying to get through the day and stay positive.,I'm just vibing through the day and keeping it chill.,Chillin'
"I'm really tired after a long day, so I'm just going to relax at home.","I'm super wiped from the day, so I'm just chillin' at home.",exhausted (relaxing)
I'm really excited about the concert this weekend!,"OMG, I’m so hyped for the concert this weekend!",pumped
I'm just relaxing at home and watching some Netflix.,"I'm just chillin' at home and binging some Netflix, no cap.","Chillin', Netflixing"
"Hey, I just got back from the mall with my friends.","Yo, just dipped from the mall with my squad, fr fr.","hung out (at the mall) with friends, for real"
I can't believe how busy I am today.,"I'm shook, today's been max hectic.","amazed, day's been chaotic"
I'm really tired today because I didn't get much sleep last night.,"I'm so dead today 'cause I got no sleep last night, fr.",exhausted (fr = for real)
"Hey, I just saw my favorite band perform live last night.","Yo, I just caught my fave band live last night, it was lit!",epic (awesome)
I'm really tired today because I didn't get enough sleep last night.,I'm mad tired today ’cause I didn’t catch enough Z’s last night.,I'm beat today (because I didn't get enough sleep last night) -> beat (fatigued)
I'm just really tired today and don’t feel like going out.,"I’m so drained today, I’m not tryna step out, fr.",burnt out
I'm just going to relax and watch some TikTok videos.,"I'm just gon' chill and binge some TikTok, fr fr.","chilling, tiktoking"
I'm going to hang out with my friends at the park later.,"I'm vibing with my crew at the park later, fr.!",chilling (with my crew) at the park later
I'm just grabbing some coffee before work.,Gonna sip some coffee real quick before vibe at work.,chill (at work)
I'm just really tired today and feel like staying in instead of going out.,"I'm deadass exhausted today, so I'm just chillin' at home instead of hitting the town.",deadbeat
I'm really excited about hanging out with my friends later.,"I'm totally hyped to chill with my friends later, fr fr.",excited
I'm really excited about the new game coming out tomorrow.,"Bro, I’m hyped for the new game dropping tomorrow!",Pumped (for the new game coming tomorrow)
Are you going to the party tonight?,Are you pulling up to the party tonight?,rolling up (to) party tonight
I'm just really tired after working all day.,"I'm evished after grindin' all day, fr fr.","burnt out from working all day, for real"
"Hey, did you see the new movie that just came out yesterday?","Yo, did y'all peep the new flick that Dropped yesterday?",Just caught the fresh movie out yesterday?
I'm just going for a walk to clear my head.,I'm just vibing with a little walk to clear my mind.,chillin' (walking)
"Hey, do you want to grab a quick coffee later?","Yo, wanna snag a quick coffee l8r?",Wanna grab a coffee later (informal)?
I'm just really tired today because I stayed up too late last night.,I'm hella drained today ‘cause I pulled an all-nighter last night.,exhausted (slang)
I'm just really tired from studying all night.,"I'm hella drained after pulling an all-nighter, fr.",exhausted (after all-nighter)
I’m really tired today and just want to relax at home.,"Honestly, I’m super drained today and just wanna chill at home.","burned out, chillin' (at home)"
I'm just going to relax and watch some TV today.,I'm vibing out and binge-watching some shows today.,Chillin' and marathon-watching some series today.
I'm really tired today and I just want to relax at home.,"I'm so drained today, just tryna chill at my crib.","burned out, kicking back at home"
Are you coming to the party tonight?,You pulling up to the party tonight?,you gonna show up at the party tonight?
I'm just pretty tired after a long day at work.,I'm mad drained after a whole day at the grind.,burnt out
I'm just going to hang out with friends this weekend.,I'm just vibing with my friends this weekend.,Chillin' (with friends) this weekend.
"Hey, are you coming to the party this weekend?","Yo, are you hitting up the party this weekend?",gonna party this wknd?
"That movie was really good, I loved it!","That flick was a vibe, I mess with it!",That's lit! (I dig it)
I'm just really tired today and feel like relaxing at home.,"I'm super drained today and just wanna chill at home, fr.","burnt out, chill (at home)"
I'm just really tired today and couldn't sleep well last night.,"I'm mad tired today and bopped out last night, fr.","drained today, lit last night"
I'm just relaxing at home after a busy day.,I'm just vibing at home after a super hectic day.,Chillin' (at home) after a crazy busy day.
I'm really tired today because I didn't get much sleep.,I'm dead tired today 'cause I barely slept lol.,exhausted (tired as hell)
I'm just going to relax at home today.,I'm just chillin' at the crib today.,Chillin' (slang for relaxing or spending time casually)
"Hey, I saw your new video and it was really funny!","Yo, I saw your new vid and it was totally hilarious!",crackup
"Hey, I just finished my homework and I'm going to relax for a bit.","Yo, just knocked out my homework, now I’m vibing and chillin’ for a bit.",Chillaxin'
I'm just really tired after a long day at school.,"I'm so drained after a whole day of classes, fr.",burnt out
I'm so excited to hang out with my friends tonight.,I'm suuuper hyped to chill with my squad tonight.,excited
I'm just really tired today and feeling kind of down.,I'm hella dead tired today and lowkey vibing with the gloom.,"exhausted, chilling (vibing) in gloom"
"Hey, I just want to relax at home today.","Yo, I just wanna chill at my place today.",Chillin' at home (today)
"Hey, do you want to grab coffee after school?","Yo, wanna hit up some coffee after class?",Hang out (for coffee) after class?
I'm feeling pretty tired today because I didn't sleep well.,I'm mad dead tired today 'cause I napped like no cap.,deadtired (extremely exhausted)
"I'm really tired today, so I think I'll just stay home and chill.","I'm hella drained today, so I'm just gonna Netflix and vibes at home.","exhausted, chilling (at home)"
I'm just trying to finish my homework before I go out with friends.,I'm just tryna knock out my homework before I slide with my squad.,"grindin', chillin'"
I'm just going to grab a quick snack before I start studying.,I'm just finna cop a quick snack before I hit the books.,"Gonna grab a quick bite then study. (Slang term: ""Gonna"")"
"Hey, I need to finish my homework before I go out with my friends.","Yo, I gotta grind on my homework before I dip with the crew.",Gotta study my homework before I bolt with the gang.
I'm going to grab a coffee before heading to work.,I'm finna hit up some coffee before I dip to work.,gonnabrewcoffeebeforeIDework
"Hey, I think I might skip the party tonight.","Yo, I might dip the party tonight, fr fr.","Bouncin' tonight, fo' real."
I'm just relaxing at home and watching some YouTube.,"Chillin' at my place, just vibing with some YouTube drama.","Hangin', vibin' on YouTube beef"
I'm really excited for the movie tonight!,I'm totally hyped for the movie tonight!,pumped
"Hey, I just finished my homework and I'm relaxing now.","Yo, just peaced out my homework, now I’m chillin’ like a villain.","Bailed on homework, now vibing like a boss."
"Hey, did you see the new episode of that show last night?","Yo, did you catch the new ep of that show yesterday? 😂",fresh
I'm just going to relax at home this evening.,I'm just vibing at home tonight.,Chilling (at home) tonight
I'm just hanging out with my friends at the coffee shop.,I'm just chillin' with my squad at the coffee spot.,Hanging (with friends) at the cafe
"Hey, I’m really tired today and just want to relax.","Yo, I’m hella drained today and just wanna chill, fr fr.","burned out, want to relax"
I'm going to grab some snacks before the movie starts.,Gonna snag some snacks before the film kicks off.,About to grab some grub before the flick starts.
I'm just relaxing at home and watching a movie.,"I'm chillin' at home, vibing with a flick.","Chillax (at home), vibe (with a flick)"
"Hey, do you want to go to the mall later?","Yo, you tryna hit the mall later?",You wanna hang out at the shopping center later?
I'm just going to chill at home tonight and watch some movies.,I'm just gonna vibe at home tonight and binge some flicks.,"Chillin' at home, watchin' movies"
I'm just really tired today and don't feel like doing anything.,"I'm hella exhausted today and not tryna do anything, fr.",exhausted (feeling very tired)
I'm really tired today because I stayed up all night studying.,I'm totally drained 'cause I pulled an all-nighter hitting the books.,burnt out (from studying all night)
"Hey, I just saw a really cool new movie last night.","Yo, I caught the dopest new flick last night, fr fr.",fresh (movie)
"Hey, I just got done with my homework and I’m feeling pretty good.","Yo, I just finished my homework and I’m vibing hard.",I'm killin' it (slang for doing well) now that I finished my homework and I'm feeling great.
I'm just going to grab a snack before class.,"I'm just gonna peep some snacks before class, fr fr.","chillin' grab somethin' to eat b4 class, fo sho"
"I'm really tired today, so I think I might just stay in and relax.","I'm absolutely drained today, so I’m just gonna chill at home and vibe.","fried, chillin', vibing"
I'm really excited about the upcoming concert this weekend.,I'm so hyped for the concert this weekend!,pumped
I'm just thinking about what to do this weekend.,I'm just vibing about what to do this weekend.,Chillin' (about plans for the weekend)
"Hey, are you free to hang out later today?","Yo, you free to flex later?",Free to chill later?
I'm going to grab some food before the movie starts.,I'm finna snag some grub before the flick drops.,"Gonna grab some food before the movie starts. (Slang terms are ""finna"" and ""grub"")"
I just bought a new pair of sneakers for school.,I just copped fresh kicks for class. 😎,"Got new sneakers for school. (Slang term: ""kicks"")"
I'm really tired after the long day.,I'm totally drained after this long-ass day.,burned-out
"Hey, I think I'm going to grab some coffee before class.","Yo, I might peep some coffee before class, fr.","gonnabrew (coffee) b4 class, aight."
I'm just going to hang out with friends this afternoon.,"I'm just popping off with my friends later, no cap.","Chillin', no cap. (Here, 'popping off' is replaced by 'chillin'. The original phrase implies going out or hanging out casually with friends, and the rewritten version maintains that same casual, relaxed tone.)"
I'm going to the store to buy some snacks.,I'm hitting the store to grab some snacks real quick.,dashing out for a sec (grabbing) some grub
I was really tired after a long day at work.,"I was totally wiped after a long day at work, fr.",drained
I'm just going to relax at home and watch some TV today.,I'm just gonna chill at home and binge some shows today.,"Chillin' at home, catchin' up on shows"
"I'm just really tired today, I think I need some rest.","Lowkey exhausted today, I gotta catch some Z's.","burnt out, need sleep"
I'm exhausted after a long day at work.,I'm totally wiped after a long day grind.,burned out
"Hey, I’m just relaxing at home and watching some shows.","Hey, I’m just vibing at home and binge-watching some stuff.","Chillin' at home, marathon-watching shows."
I'm thinking about grabbing some coffee before heading to class.,"Yo, I'm tryna snag some coffee before I dip to class.","Trying to grab some coffee before bailing for class. (slang term: ""bailing"" replaced with ""dipping"")"
"Hey, I just saw my friend at the mall.","Yo, just peeped my homie at the mall, fr fr!","Just spotted a friend at the mall, for real!"
I'm heading to the cafe to grab some coffee.,"Yo, I’m heading to the café for some brews, no cap!","Heading (to a café) for some 'cuppa joe' (coffee), straight up."
I'm so tired after a long day at work.,"I'm so drained after a mega long shift, fr.",burnt out
"I'm really tired after a long day, so I just want to relax and watch some TV.","I'm totally drained after a long day, just tryna chill and binge some shows.","burned out, chilling, bingeing"
Did you see the new movie last night?,"Yo, peep the new flick last night?",Saw the latest movie last night?
I'm just chilling at home and watching my favorite show.,"I'm just vibing at home, binge-watching my go-to show.","Chillin' at home, marathon-watching favorite series."
I'm planning to chill with my friends this weekend.,"I'm just gonna bloque with my squad this weekend, no cap.",gangup
I'm really excited to go out and hang out with my friends tonight.,I'm super hyped to flex with my squad tonight!,pumped (up)
I'm just going to chill at home this evening.,I'm just vibesing at home tonight.,Chillin' (at home)
I'm just going to hang out with my friends at the mall tonight.,I'm just chillin' with my squad at the mall tonight.,chilling (with friends)
I'm just hanging out with my friends after school.,I'm just vibing with my squad after class.,chilling (with friends)
"Hey, did you watch the new episode of that show last night?","Yo, did you peep the new episode of that show last night?",Saw the latest ep of that series yesterday? (Slang term: Peep)
Let's meet up for coffee tomorrow.,"Yo, hit me up for some coffee tmrw, no cap!","Chill, let's link up for coffee tomorrow, no lie."
"Hey, I just finished my homework and I’m feeling pretty good.","Yo, just peeped my homework done and I’m vibing hard.","Crushed it on homework, feeling lit. (Slang term: ""Crushed it"" for completing something successfully, ""lit"" for having energy or being exciting)"
I'm just going to relax at home after school.,I'm just vibing at home after school.,Chillin' (at home)
I'm just going to grab a coffee before heading to class.,Gonna vibe with some coffee real quick before hitting up class.,Chill (with some coffee) then head to class.
"Hey, do you want to hang out at the park later?","Yo, wanna chill at the park later? 😎",Chill (at the park later)
I'm just taking a quick break before I get back to studying.,Just vibing for a sec before I gotta get back to grinding on homework.,Chillin' (for a moment) then grindin' (on homework)
I'm feeling really tired today after staying up late yesterday.,I'm mad drained today 'cause I stayed up all night yesterday.,burnt out
"Hey, do you want to grab some coffee after work?","Yo, you down to hit up some coffee after work?",Wanna grab a cuppa joe post-work?
"Hey, I was just thinking about grabbing some lunch later.","Yo, I’m lowkey tryna snag some grub later, fr fr.","Lowkey trying to grab some food later, for real."
"Hey, I just got back from the grocery store and I'm exhausted.","Yo, I just hit the grocery run and I'm completely drained!",burned out (from shopping)
"Hey, did you see the new movie everyone's talking about?","Yo, did u peep the new flick everyone's losing their minds over?",buzzing (about) the latest movie everyone's raving over
I'm going to grab a coffee to start my day.,"Gonna sip on some java to kick off my day, fr.","grinding java for a start, bro"
"Hey, I just finished my homework and I'm so tired.","Yo, just wrapped up my homework and I'm so wiped.",Wiped (exhausted)
"Hey, did you finish your homework today?","Yo, did you peep your homework today or what?",Did you cop your homework today?
"Hey, do you want to hang out this evening?","Yo, wanna vibe and chill tonight?",Hang out tonight?
"Hey, I was just thinking about grabbing some coffee later.","Yo, I’m just vibing on the idea of grabbing some java later.","Chillin', might hit up for a cuppa joe later."
I'm just trying to relax and watch some videos after a long day.,I'm just tryna chill and vibe with some vids after a hectic day.,"chilling, vibing"
